Participant ID	Length 2: Grammatical	Length 2: Ungrammatical	Length 4: Grammatical	Length 4: Ungrammatical	Length 6: Grammatical	Length 6: Ungrammatical	Length 8: Grammatical	Length 8: Ungrammatical	Hypothesized rule(s)	Participant's free response answer
262376_QI	0.33	0.66	0.6	0.8	0.75	0.5	0.37	0.62		
706404_QI	0.33	0.33	0.8	0	0.75	0.75	0.37	0.62		
482077_QI	0.66	0	0.6	0.6	0.37	0	0.37	0.37		a text often has short words like \""a\"" or \""i,\"" not just longer ones. so i looked to see what it looked like.
335977_QI	0.66	0.66	0.6	0.2	0.5	0.62	0.37	0.5		
902169_QI	1	0	1	0.6	0.75	0	0.5	0.25		Most of the first characters had similar structures such as Dri and I
861183_QI	0.66	0	0.2	0.4	0.37	0.37	0.25	0.5		
329574_QI	0.33	1	0.4	1	0.62	0.5	0.75	0		If they were presented back to back during the first part.
887825_QI	1	0	0.8	0	0.87	0	0.62	0.5		
821171_QI	0.66	0.66	0.8	0.6	0.87	0.37	0.5	0.62		alien language is very good
594190_QI	0.33	0.33	0.4	0.4	0.87	0.5	0.87	0.5		I went with sentences that had an equal amount of long words and letters.
991083_QI	0	0.66	0.6	0.2	0.62	0.5	0.87	0.37		
592050_QI	0.66	0	0.8	0.4	0.5	0.37	0.5	0.5		
299734_QI	0.66	0	0.6	0.2	0.5	0.25	0.5	0.5		
160683_QI	0	0.66	0.6	0	0.75	0.5	0.37	0.5		
132402_QI	1	0.66	0.8	0.2	0.62	0.37	0.5	0.12		
677248_QI	1	0	0.8	0.2	1	0.5	0.62	0.37		
385288_QI	0.33	1	0.8	0.8	0.75	0.5	0.5	0.37		based on the pattern.
205190_QI	1	0.33	1	0.8	0.75	0.25	0.37	0.5		
343180_QI	0.66	0	0.8	0	0.62	0.25	0.12	0.5		
203458_QI	0.33	0	0.8	0	0.62	0.5	0.12	0.75		I tried to follow the same pattern
219978_QI	1	0.66	0.4	0.2	0.5	0.62	0.62	0.62		
567737_QI	0.33	1	0.4	0.4	0.62	0.5	0.62	0.25		
683163_QI	0.33	1	1	0.6	0.62	0.25	0.37	0.5		
477340_QI	0.66	0.33	0.8	0.6	0.62	0	0.5	0.37		nothing
412485_QI	0	0.66	0	0.2	0.5	0.25	0.62	0		if they looked like another known foreign language
499588_QI	1	1	0.6	0.8	0.87	0.62	0.5	0.5		
436597_QI	0.66	0.66	0.4	0.4	0.75	0.37	0.5	0.37		
189761_QI	0.66	0	0.6	0.4	0.62	0.5	0.62	0.25		not sure, just went based on what I thought
596341_QI	1	0.66	0.6	0.6	0.75	0.62	0.75	0.5		I have followed the sentence on the 1st part. Then I remembered the sequence.
Mean	0.6677669903	0.5346601942	0.7650485437	0.4660194175	0.7541747573	0.457184466	0.6824271845	0.4954368932		
